Date__(UT)__HR:MN,R.A._(ICRF/J2000.0)_DEC,APmag,S-brt,delta,deldot,S-O-T,/r,S-T-O
2016-Jun-10 00:00,05 17 11.46 +23 11 23.0,n.a.,n.a.,1.735228273,-0.2941294,0.8493,/T,1.196
2016-Jun-11 00:00,05 22 30.93 +23 18 51.7,n.a.,n.a.,1.735028771,-0.396681,1.1247,/T,1.5848
2016-Jun-12 00:00,05 27 50.96 +23 25 39.7,n.a.,n.a.,1.734770119,-0.4989606,1.4004,/T,1.9741
2016-Jun-13 00:00,05 33 11.49 +23 31 46.7,-3.96,0.69,1.734452472,-0.6009736,1.6763,/T,2.364
2016-Jun-14 00:00,05 38 32.48 +23 37 12.4,-3.96,0.69,1.734075982,-0.7027294,1.9524,/T,2.7543
2016-Jun-15 00:00,05 43 53.87 +23 41 56.5,-3.96,0.7,1.733640794,-0.8042378,2.2286,/T,3.145
2016-Jun-16 00:00,05 49 15.61 +23 45 58.9,-3.95,0.7,1.733147049,-0.905509,2.5051,/T,3.5362
2016-Jun-17 00:00,05 54 37.65 +23 49 19.2,-3.95,0.71,1.732594879,-1.0065553,2.7816,/T,3.9279
2016-Jun-18 00:00,05 59 59.92 +23 51 57.4,-3.95,0.71,1.73198441,-1.1073937,3.0584,/T,4.3199
2016-Jun-19 00:00,06 05 22.37 +23 53 53.3,-3.94,0.71,1.731315756,-1.2080492,3.3352,/T,4.7124
2016-Jun-20 00:00,06 10 44.95 +23 55 06.7,-3.94,0.72,1.730589011,-1.3085578,3.6121,/T,5.1052
2016-Jun-21 00:00,06 16 07.60 +23 55 37.6,-3.94,0.72,1.729804248,-1.4089677,3.8892,/T,5.4984
2016-Jun-22 00:00,06 21 30.26 +23 55 25.9,-3.93,0.72,1.728961506,-1.50934,4.1663,/T,5.8919
2016-Jun-23 00:00,06 26 52.88 +23 54 31.7,-3.93,0.73,1.728060786,-1.6097468,4.4435,/T,6.2857
2016-Jun-24 00:00,06 32 15.39 +23 52 54.8,-3.93,0.73,1.727102046,-1.7102678,4.7207,/T,6.6797
2016-Jun-25 00:00,06 37 37.74 +23 50 35.4,-3.93,0.73,1.726085196,-1.8109853,4.9979,/T,7.074
2016-Jun-26 00:00,06 42 59.88 +23 47 33.5,-3.92,0.74,1.725010099,-1.9119787,5.2751,/T,7.4685
2016-Jun-27 00:00,06 48 21.75 +23 43 49.2,-3.92,0.74,1.723876575,-2.0133188,5.5523,/T,7.8632
2016-Jun-28 00:00,06 53 43.28 +23 39 22.6,-3.92,0.75,1.722684406,-2.1150599,5.8295,/T,8.2581
2016-Jun-29 00:00,06 59 04.44 +23 34 14.0,-3.91,0.75,1.721433351,-2.2172331,6.1067,/T,8.6532
