Date__(UT)__HR:MN,R.A._(ICRF/J2000.0)_DEC,APmag,S-brt,delta,deldot,S-O-T,/r,S-T-O
2015-Nov-10 00:00,12 06 31.49 +00 37 26.9,-4.38,1.35,0.803513403,12.8994193,45.808,/L,80.9539
2015-Nov-11 00:00,12 10 37.40 +00 15 08.3,-4.38,1.34,0.81095651,12.8782771,45.7264,/L,80.4204
2015-Nov-12 00:00,12 14 44.12 -00 07 22.7,-4.37,1.34,0.818387198,12.8564149,45.6407,/L,79.891
2015-Nov-13 00:00,12 18 51.66 -00 30 05.6,-4.36,1.34,0.825805075,12.8339212,45.5511,/L,79.3656
2015-Nov-14 00:00,12 23 00.00 -00 52 59.5,-4.35,1.33,0.833209801,12.8108795,45.4576,/L,78.8441
2015-Nov-15 00:00,12 27 09.15 -01 16 03.6,-4.34,1.33,0.840601084,12.7873653,45.3605,/L,78.3263
2015-Nov-16 00:00,12 31 19.09 -01 39 17.3,-4.34,1.33,0.847978668,12.7634423,45.2596,/L,77.8122
2015-Nov-17 00:00,12 35 29.83 -02 02 39.7,-4.33,1.32,0.855342332,12.7391593,45.1553,/L,77.3017
2015-Nov-18 00:00,12 39 41.38 -02 26 10.1,-4.32,1.32,0.862691879,12.7145469,45.0475,/L,76.7947
2015-Nov-19 00:00,12 43 53.74 -02 49 47.9,-4.31,1.32,0.870027122,12.6896129,44.9364,/L,76.2911
2015-Nov-20 00:00,12 48 06.92 -03 13 32.1,-4.31,1.31,0.87734787,12.6643377,44.8219,/L,75.7909
2015-Nov-21 00:00,12 52 20.93 -03 37 22.1,-4.3,1.31,0.884653915,12.6386688,44.7043,/L,75.2939
2015-Nov-22 00:00,12 56 35.79 -04 01 17.2,-4.29,1.31,0.891945003,12.6125165,44.5835,/L,74.8002
2015-Nov-23 00:00,13 00 51.49 -04 25 16.5,-4.28,1.3,0.899220821,12.5857554,44.4596,/L,74.3096
2015-Nov-24 00:00,13 05 08.07 -04 49 19.4,-4.28,1.3,0.906480976,12.5582342,44.3328,/L,73.8222
2015-Nov-25 00:00,13 09 25.54 -05 13 25.0,-4.27,1.3,0.913724982,12.529794,44.203,/L,73.3378
2015-Nov-26 00:00,13 13 43.91 -05 37 32.6,-4.26,1.29,0.920952265,12.5002934,44.0704,/L,72.8565
2015-Nov-27 00:00,13 18 03.21 -06 01 41.4,-4.26,1.29,0.928162183,12.4696312,43.9351,/L,72.3781
2015-Nov-28 00:00,13 22 23.44 -06 25 50.7,-4.25,1.29,0.935354048,12.4377585,43.7971,/L,71.9027
2015-Nov-29 00:00,13 26 44.62 -06 49 59.6,-4.24,1.28,0.942527158,12.4046777,43.6565,/L,71.4302
2015-Nov-30 00:00,13 31 06.76 -07 14 07.4,-4.24,1.28,0.949680828,12.3704315,43.5135,/L,70.9605
2015-Dec-01 00:00,13 35 29.89 -07 38 13.2,-4.23,1.28,0.956814403,12.3350872,43.368,/L,70.4936
2015-Dec-02 00:00,13 39 54.01 -08 02 16.3,-4.22,1.27,0.96392727,12.2987222,43.2202,/L,70.0293
2015-Dec-03 00:00,13 44 19.13 -08 26 15.8,-4.22,1.27,0.971018864,12.2614151,43.0701,/L,69.5678
2015-Dec-04 00:00,13 48 45.28 -08 50 10.8,-4.21,1.27,0.978088662,12.22324,42.9179,/L,69.1088
2015-Dec-05 00:00,13 53 12.46 -09 14 00.7,-4.2,1.26,0.985136183,12.1842662,42.7635,/L,68.6523
2015-Dec-06 00:00,13 57 40.69 -09 37 44.5,-4.2,1.26,0.992160985,12.1445594,42.6071,/L,68.1983
2015-Dec-07 00:00,14 02 09.97 -10 01 21.4,-4.19,1.26,0.999162663,12.1041851,42.4487,/L,67.7468
2015-Dec-08 00:00,14 06 40.33 -10 24 50.6,-4.18,1.25,1.006140851,12.0632122,42.2884,/L,67.2976
2015-Dec-09 00:00,14 11 11.77 -10 48 11.3,-4.18,1.25,1.013095226,12.0217159,42.1262,/L,66.8507
2015-Dec-10 00:00,14 15 44.31 -11 11 22.6,-4.17,1.25,1.020025509,11.9797799,41.9622,/L,66.4061
2015-Dec-11 00:00,14 20 17.96 -11 34 23.7,-4.16,1.25,1.026931471,11.9374964,41.7965,/L,65.9636
2015-Dec-12 00:00,14 24 52.72 -11 57 13.8,-4.16,1.24,1.033812941,11.8949632,41.629,/L,65.5234
2015-Dec-13 00:00,14 29 28.62 -12 19 52.1,-4.15,1.24,1.040669803,11.852279,41.4598,/L,65.0852
2015-Dec-14 00:00,14 34 05.66 -12 42 17.7,-4.15,1.24,1.047501997,11.8095361,41.289,/L,64.6492
2015-Dec-15 00:00,14 38 43.85 -13 04 29.7,-4.14,1.23,1.054309513,11.7668132,41.1167,/L,64.2151
2015-Dec-16 00:00,14 43 23.21 -13 26 27.4,-4.14,1.23,1.061092379,11.7241684,40.9427,/L,63.7831
2015-Dec-17 00:00,14 48 03.74 -13 48 10.0,-4.13,1.23,1.067850652,11.6816338,40.7672,/L,63.3529
2015-Dec-18 00:00,14 52 45.46 -14 09 36.7,-4.12,1.22,1.074584398,11.6392119,40.5901,/L,62.9248
2015-Dec-19 00:00,14 57 28.37 -14 30 46.5,-4.12,1.22,1.081293675,11.5968736,40.4116,/L,62.4985
2015-Dec-20 00:00,15 02 12.49 -14 51 38.8,-4.11,1.22,1.087978515,11.5545578,40.2316,/L,62.0742
2015-Dec-21 00:00,15 06 57.83 -15 12 12.7,-4.11,1.22,1.094638906,11.5121722,40.0502,/L,61.6517
2015-Dec-22 00:00,15 11 44.39 -15 32 27.5,-4.1,1.21,1.101274774,11.4695984,39.8673,/L,61.231
2015-Dec-23 00:00,15 16 32.19 -15 52 22.3,-4.1,1.21,1.107885972,11.4267004,39.6831,/L,60.8123
2015-Dec-24 00:00,15 21 21.23 -16 11 56.3,-4.09,1.21,1.114472272,11.3833387,39.4975,/L,60.3954
2015-Dec-25 00:00,15 26 11.51 -16 31 08.9,-4.09,1.2,1.121033369,11.339386,39.3106,/L,59.9803
2015-Dec-26 00:00,15 31 03.05 -16 49 59.1,-4.08,1.2,1.127568891,11.2947422,39.1224,/L,59.567
2015-Dec-27 00:00,15 35 55.84 -17 08 26.2,-4.07,1.2,1.134078419,11.249343,38.933,/L,59.1556
2015-Dec-28 00:00,15 40 49.87 -17 26 29.4,-4.07,1.2,1.140561507,11.2031618,38.7424,/L,58.7459
2015-Dec-29 00:00,15 45 45.15 -17 44 08.0,-4.06,1.19,1.147017703,11.1562038,38.5507,/L,58.338
2015-Dec-30 00:00,15 50 41.67 -18 01 21.3,-4.06,1.19,1.153446566,11.108497,38.3578,/L,57.9319
2015-Dec-31 00:00,15 55 39.41 -18 18 08.3,-4.05,1.19,1.159847676,11.0600829,38.1639,/L,57.5275
2016-Jan-01 00:00,16 00 38.37 -18 34 28.5,-4.05,1.18,1.166220636,11.011008,37.9689,/L,57.1248
2016-Jan-02 00:00,16 05 38.53 -18 50 21.0,-4.04,1.18,1.17256508,10.9613194,37.7729,/L,56.7237
2016-Jan-03 00:00,16 10 39.87 -19 05 45.2,-4.04,1.18,1.178880665,10.9110627,37.576,/L,56.3243
2016-Jan-04 00:00,16 15 42.38 -19 20 40.3,-4.04,1.18,1.185167078,10.8602828,37.3781,/L,55.9265
2016-Jan-05 00:00,16 20 46.03 -19 35 05.6,-4.03,1.17,1.191424028,10.8090265,37.1793,/L,55.5303
2016-Jan-06 00:00,16 25 50.80 -19 49 00.4,-4.03,1.17,1.197651256,10.7573469,36.9796,/L,55.1356
2016-Jan-07 00:00,16 30 56.66 -20 02 24.2,-4.02,1.17,1.203848535,10.7053082,36.779,/L,54.7424
2016-Jan-08 00:00,16 36 03.59 -20 15 16.1,-4.02,1.17,1.210015681,10.6529896,36.5776,/L,54.3507
2016-Jan-09 00:00,16 41 11.56 -20 27 35.7,-4.01,1.16,1.216152557,10.6004884,36.3754,/L,53.9605
2016-Jan-10 00:00,16 46 20.53 -20 39 22.2,-4.01,1.16,1.222259092,10.5479173,36.1724,/L,53.5717
2016-Jan-11 00:00,16 51 30.46 -20 50 35.1,-4,1.16,1.228335279,10.4953991,35.9687,/L,53.1842
2016-Jan-12 00:00,16 56 41.32 -21 01 13.8,-4,1.15,1.234381185,10.4430545,35.7641,/L,52.7981
2016-Jan-13 00:00,17 01 53.07 -21 11 17.8,-3.99,1.15,1.240396941,10.3909888,35.5588,/L,52.4133
2016-Jan-14 00:00,17 07 05.68 -21 20 46.4,-3.99,1.15,1.246382733,10.3392789,35.3527,/L,52.0298
2016-Jan-15 00:00,17 12 19.10 -21 29 39.3,-3.99,1.15,1.252338778,10.2879649,35.1459,/L,51.6475
2016-Jan-16 00:00,17 17 33.28 -21 37 55.9,-3.98,1.14,1.258265308,10.2370469,34.9383,/L,51.2665
2016-Jan-17 00:00,17 22 48.20 -21 45 35.8,-3.98,1.14,1.264162542,10.1864874,34.73,/L,50.8868
2016-Jan-18 00:00,17 28 03.80 -21 52 38.6,-3.97,1.14,1.270030669,10.1362175,34.5209,/L,50.5082
2016-Jan-19 00:00,17 33 20.04 -21 59 03.8,-3.97,1.14,1.27586983,10.0861431,34.3111,/L,50.1308
2016-Jan-20 00:00,17 38 36.87 -22 04 51.0,-3.97,1.13,1.281680106,10.0361534,34.1006,/L,49.7547
2016-Jan-21 00:00,17 43 54.26 -22 10 00.0,-3.96,1.13,1.287461512,9.9861286,33.8894,/L,49.3797
2016-Jan-22 00:00,17 49 12.15 -22 14 30.4,-3.96,1.13,1.293213992,9.9359483,33.6774,/L,49.0059
2016-Jan-23 00:00,17 54 30.49 -22 18 21.9,-3.96,1.12,1.298937424,9.8855007,33.4648,/L,48.6333
2016-Jan-24 00:00,17 59 49.24 -22 21 34.3,-3.95,1.12,1.304631625,9.83469,33.2515,/L,48.2618
2016-Jan-25 00:00,18 05 08.34 -22 24 07.3,-3.95,1.12,1.310296362,9.7834421,33.0375,/L,47.8915
2016-Jan-26 00:00,18 10 27.74 -22 26 00.7,-3.94,1.12,1.315931368,9.7317069,32.8229,/L,47.5223
2016-Jan-27 00:00,18 15 47.38 -22 27 14.3,-3.94,1.11,1.321536352,9.6794564,32.6077,/L,47.1543
2016-Jan-28 00:00,18 21 07.22 -22 27 48.0,-3.94,1.11,1.327111013,9.6266808,32.3919,/L,46.7873
2016-Jan-29 00:00,18 26 27.19 -22 27 41.7,-3.93,1.11,1.332655048,9.5733834,32.1755,/L,46.4215
2016-Jan-30 00:00,18 31 47.24 -22 26 55.4,-3.93,1.11,1.338168159,9.5195745,31.9586,/L,46.0567
2016-Jan-31 00:00,18 37 07.31 -22 25 28.8,-3.93,1.1,1.343650053,9.4652681,31.7411,/L,45.6929
2016-Feb-01 00:00,18 42 27.35 -22 23 22.2,-3.92,1.1,1.349100448,9.410479,31.5231,/L,45.3302
2016-Feb-02 00:00,18 47 47.30 -22 20 35.4,-3.92,1.1,1.35451907,9.3552231,31.3046,/L,44.9684
2016-Feb-03 00:00,18 53 07.10 -22 17 08.4,-3.92,1.1,1.359905654,9.2995192,31.0856,/L,44.6076
2016-Feb-04 00:00,18 58 26.70 -22 13 01.5,-3.91,1.09,1.365259949,9.2433939,30.866,/L,44.2478
2016-Feb-05 00:00,19 03 46.03 -22 08 14.7,-3.91,1.09,1.370581721,9.1868873,30.646,/L,43.8888
2016-Feb-06 00:00,19 09 05.05 -22 02 48.1,-3.91,1.09,1.375870768,9.1300612,30.4256,/L,43.5307
2016-Feb-07 00:00,19 14 23.69 -21 56 41.9,-3.91,1.09,1.381126929,9.0730045,30.2046,/L,43.1735
2016-Feb-08 00:00,19 19 41.91 -21 49 56.3,-3.9,1.08,1.386350104,9.0158346,29.9832,/L,42.817
2016-Feb-09 00:00,19 24 59.65 -21 42 31.6,-3.9,1.08,1.391540266,8.9586919,29.7613,/L,42.4613
2016-Feb-10 00:00,19 30 16.86 -21 34 28.0,-3.9,1.08,1.396697475,8.9017243,29.539,/L,42.1064
2016-Feb-11 00:00,19 35 33.49 -21 25 45.8,-3.89,1.07,1.401821872,8.8450656,29.3162,/L,41.7521
2016-Feb-12 00:00,19 40 49.50 -21 16 25.3,-3.89,1.07,1.406913664,8.7888151,29.0929,/L,41.3985
2016-Feb-13 00:00,19 46 04.83 -21 06 26.9,-3.89,1.07,1.411973106,8.7330235,28.8691,/L,41.0455
2016-Feb-14 00:00,19 51 19.44 -20 55 50.9,-3.89,1.07,1.417000465,8.6776905,28.6448,/L,40.6932
2016-Feb-15 00:00,19 56 33.31 -20 44 37.7,-3.88,1.06,1.421995994,8.6227719,28.42,/L,40.3414
2016-Feb-16 00:00,20 01 46.39 -20 32 47.7,-3.88,1.06,1.426959911,8.5681912,28.1947,/L,39.9902
2016-Feb-17 00:00,20 06 58.65 -20 20 21.3,-3.88,1.06,1.431892386,8.5138524,27.9688,/L,39.6396
2016-Feb-18 00:00,20 12 10.05 -20 07 19.0,-3.88,1.06,1.436793527,8.4596495,27.7425,/L,39.2895
2016-Feb-19 00:00,20 17 20.58 -19 53 41.3,-3.87,1.05,1.441663382,8.4054737,27.5156,/L,38.94
2016-Feb-20 00:00,20 22 30.20 -19 39 28.7,-3.87,1.05,1.446501934,8.3512184,27.2882,/L,38.591
2016-Feb-21 00:00,20 27 38.89 -19 24 41.6,-3.87,1.05,1.451309109,8.2967831,27.0603,/L,38.2424
2016-Feb-22 00:00,20 32 46.63 -19 09 20.6,-3.87,1.05,1.456084776,8.2420762,26.832,/L,37.8944
2016-Feb-23 00:00,20 37 53.41 -18 53 26.2,-3.87,1.04,1.460828754,8.187018,26.6031,/L,37.5469
2016-Feb-24 00:00,20 42 59.19 -18 36 59.0,-3.86,1.04,1.46554082,8.131542,26.3737,/L,37.1998
2016-Feb-25 00:00,20 48 03.97 -18 19 59.6,-3.86,1.04,1.470220718,8.0755949,26.1439,/L,36.8532
2016-Feb-26 00:00,20 53 07.73 -18 02 28.6,-3.86,1.03,1.474868162,8.0191361,25.9136,/L,36.507
2016-Feb-27 00:00,20 58 10.47 -17 44 26.5,-3.86,1.03,1.479482849,7.9621348,25.6828,/L,36.1613
2016-Feb-28 00:00,21 03 12.16 -17 25 54.0,-3.86,1.03,1.484064456,7.9045674,25.4516,/L,35.8159
2016-Feb-29 00:00,21 08 12.82 -17 06 51.7,-3.85,1.03,1.488612653,7.8464147,25.2199,/L,35.4709
2016-Mar-01 00:00,21 13 12.42 -16 47 20.2,-3.85,1.02,1.493127095,7.7876598,24.9878,/L,35.1263
2016-Mar-02 00:00,21 18 10.97 -16 27 20.3,-3.85,1.02,1.497607431,7.7282875,24.7552,/L,34.7819
2016-Mar-03 00:00,21 23 08.46 -16 06 52.5,-3.85,1.02,1.502053301,7.668286,24.5223,/L,34.4379
2016-Mar-04 00:00,21 28 04.89 -15 45 57.5,-3.85,1.01,1.506464338,7.6076511,24.2889,/L,34.0942
2016-Mar-05 00:00,21 33 00.28 -15 24 36.1,-3.85,1.01,1.51084018,7.5463941,24.055,/L,33.7507
2016-Mar-06 00:00,21 37 54.60 -15 02 48.9,-3.84,1.01,1.515180477,7.4845511,23.8208,/L,33.4074
2016-Mar-07 00:00,21 42 47.89 -14 40 36.6,-3.84,1.01,1.519484908,7.4221938,23.5861,/L,33.0643
2016-Mar-08 00:00,21 47 40.13 -14 17 59.9,-3.84,1,1.523753207,7.3594349,23.351,/L,32.7213
2016-Mar-09 00:00,21 52 31.34 -13 54 59.5,-3.84,1,1.527985184,7.2964246,23.1154,/L,32.3785
2016-Mar-10 00:00,21 57 21.52 -13 31 36.2,-3.84,1,1.532180743,7.2333337,22.8794,/L,32.0357
2016-Mar-11 00:00,22 02 10.69 -13 07 50.6,-3.84,0.99,1.536339885,7.1703251,22.643,/L,31.693
2016-Mar-12 00:00,22 06 58.87 -12 43 43.4,-3.84,0.99,1.540462697,7.1075248,22.4061,/L,31.3503
2016-Mar-13 00:00,22 11 46.06 -12 19 15.5,-3.84,0.99,1.544549322,7.0450027,22.1687,/L,31.0076
2016-Mar-14 00:00,22 16 32.28 -11 54 27.4,-3.84,0.99,1.548599926,6.9827688,21.9308,/L,30.6648
2016-Mar-15 00:00,22 21 17.57 -11 29 20.0,-3.84,0.98,1.552614666,6.9207838,21.6924,/L,30.322
2016-Mar-16 00:00,22 26 01.93 -11 03 53.8,-3.83,0.98,1.556593666,6.8589751,21.4535,/L,29.979
2016-Mar-17 00:00,22 30 45.40 -10 38 09.8,-3.83,0.98,1.560537003,6.7972527,21.2141,/L,29.636
2016-Mar-18 00:00,22 35 28.00 -10 12 08.4,-3.83,0.97,1.564444699,6.7355204,20.9742,/L,29.2929
2016-Mar-19 00:00,22 40 09.75 -09 45 50.5,-3.83,0.97,1.568316719,6.6736826,20.7337,/L,28.9496
2016-Mar-20 00:00,22 44 50.70 -09 19 16.8,-3.83,0.97,1.572152977,6.6116472,20.4927,/L,28.6063
2016-Mar-21 00:00,22 49 30.87 -08 52 27.9,-3.83,0.96,1.575953333,6.5493267,20.2513,/L,28.2627
2016-Mar-22 00:00,22 54 10.28 -08 25 24.6,-3.83,0.96,1.579717597,6.4866386,20.0093,/L,27.919
2016-Mar-23 00:00,22 58 48.98 -07 58 07.6,-3.83,0.96,1.583445536,6.4235058,19.7667,/L,27.5752
2016-Mar-24 00:00,23 03 27.00 -07 30 37.6,-3.83,0.95,1.587136871,6.3598573,19.5237,/L,27.2311
2016-Mar-25 00:00,23 08 04.37 -07 02 55.2,-3.83,0.95,1.590791286,6.2956284,19.2802,/L,26.8869
2016-Mar-26 00:00,23 12 41.12 -06 35 01.3,-3.83,0.95,1.594408428,6.230761,19.0362,/L,26.5424
2016-Mar-27 00:00,23 17 17.29 -06 06 56.5,-3.83,0.94,1.597987913,6.1652031,18.7917,/L,26.1978
2016-Mar-28 00:00,23 21 52.92 -05 38 41.5,-3.83,0.94,1.601529329,6.0989077,18.5467,/L,25.8529
2016-Mar-29 00:00,23 26 28.05 -05 10 17.0,-3.83,0.94,1.605032236,6.0318316,18.3013,/L,25.5077
2016-Mar-30 00:00,23 31 02.70 -04 41 43.7,-3.83,0.94,1.608496173,5.9639343,18.0553,/L,25.1623
2016-Mar-31 00:00,23 35 36.92 -04 13 02.4,-3.83,0.93,1.611920654,5.8951769,17.8089,/L,24.8166
2016-Apr-01 00:00,23 40 10.74 -03 44 13.7,-3.83,0.93,1.615305171,5.8255245,17.562,/L,24.4706
2016-Apr-02 00:00,23 44 44.21 -03 15 18.4,-3.83,0.93,1.618649199,5.7549495,17.3147,/L,24.1243
2016-Apr-03 00:00,23 49 17.35 -02 46 17.1,-3.83,0.92,1.621952201,5.6834402,17.0669,/L,23.7777
2016-Apr-04 00:00,23 53 50.21 -02 17 10.6,-3.83,0.92,1.62521364,5.611012,16.8187,/L,23.4307
2016-Apr-05 00:00,23 58 22.82 -01 47 59.5,-3.83,0.92,1.628432999,5.5377205,16.57,/L,23.0833
2016-Apr-06 00:00,00 02 55.22 -01 18 44.7,-3.83,0.91,1.631609808,5.4636714,16.3208,/L,22.7356
2016-Apr-07 00:00,00 07 27.44 -00 49 26.7,-3.83,0.91,1.634743671,5.389019,16.0712,/L,22.3874
2016-Apr-08 00:00,00 11 59.53 -00 20 06.4,-3.83,0.9,1.637834293,5.3139496,15.8211,/L,22.0387
2016-Apr-09 00:00,00 16 31.52 +00 09 15.6,-3.83,0.9,1.640881488,5.2386502,15.5705,/L,21.6895
2016-Apr-10 00:00,00 21 03.44 +00 38 38.5,-3.83,0.9,1.64388517,5.1632744,15.3194,/L,21.3398
2016-Apr-11 00:00,00 25 35.34 +01 08 01.7,-3.84,0.89,1.646845324,5.0879189,15.0678,/L,20.9896
2016-Apr-12 00:00,00 30 07.26 +01 37 24.4,-3.84,0.89,1.649761977,5.0126186,14.8157,/L,20.6389
2016-Apr-13 00:00,00 34 39.22 +02 06 45.9,-3.84,0.89,1.652635157,4.9373563,14.563,/L,20.2875
2016-Apr-14 00:00,00 39 11.28 +02 36 05.6,-3.84,0.88,1.655464872,4.862081,14.3099,/L,19.9356
2016-Apr-15 00:00,00 43 43.48 +03 05 22.7,-3.84,0.88,1.658251096,4.7867239,14.0562,/L,19.5831
2016-Apr-16 00:00,00 48 15.85 +03 34 36.5,-3.84,0.88,1.660993759,4.7112104,13.8019,/L,19.23
2016-Apr-17 00:00,00 52 48.43 +04 03 46.3,-3.84,0.87,1.66369275,4.6354669,13.5472,/L,18.8763
2016-Apr-18 00:00,00 57 21.28 +04 32 51.5,-3.84,0.87,1.666347915,4.559423,13.2919,/L,18.522
2016-Apr-19 00:00,01 01 54.42 +05 01 51.3,-3.84,0.87,1.668959062,4.4830117,13.0361,/L,18.167
2016-Apr-20 00:00,01 06 27.90 +05 30 45.1,-3.85,0.86,1.67152596,4.4061682,12.7798,/L,17.8115
2016-Apr-21 00:00,01 11 01.76 +05 59 32.0,-3.85,0.86,1.674048339,4.3288291,12.5229,/L,17.4553
